name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Владимир Брюквин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Avangard Omsk / CSKA Moskva / Dynamo Balashikha / Dynamo Moskva / HK MVD Balashikha / Neftekhimik Nizhnekamsk / Rimouski Océanic / Россия (all) / Россия II (all) / Россия U20 / Россия U20 (all),ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/159423/vladimir-bryukvin
Артём Галимов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Ak Bars Kazan / Ak Bars Kazan U18 / Bars Kazan / Irbis Kazan / Россия (all) / Россия II (all) / Россия U20 / Россия U20 (all),ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/339555/artyom-galimov
Вилле Лаюнен,Финляндия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Blues / Blues U18 / Blues U18 II / Blues U20 / Финляндия / Финляндия (all) / Финляндия U20 / Färjestad BK / Jokerit / Kiekko-Espoo / KooKoo / Kunlun Red Star / Löwen Frankfurt / Metallurg Magnitogorsk / Schwenninger Wild Wings / Spartak Moskva / Suomi U20 / TPS / Vityaz Podolsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9895/ville-lajunen
Даниил Тарасов,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,Ak Bars Kazan / Avtomobilist Yekaterinburg / Cape Cod Cubs / Chamonix / Dynamo Moskva / Dynamo Moskva-2 / Indiana Ice / Kunlun Red Star / SC Csíkszereda / San Francisco Bulls / San Jose Sharks / Waterloo Black Hawks / Worcester Sharks,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/38672/daniil-tarasov
Лукас Локхарт,Канада,Китай,Нападающий,ИСТИНА,ЛОЖЬ,"""C"" / Burnaby Bulldogs U15 A1 / Китай / KRS-ORG Beijing / Kunlun Red Star / Seattle Thunderbirds / Univ. of British Columbia",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/37243/lucas-lockhart
Марио Кемпе,Швеция,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Arizona Coyotes / CSKA Moskva / Dinamo Minsk / Djurgårdens IF / HC Lugano / Höga Kusten HF / Luleå HF / MODO Hockey / MODO Hockey J18 / MODO Hockey J20 / Mora IK / Ontario Reign / Philadelphia Phantoms / Rögle BK / Rögle BK J20 / St. John's Fog Devils / Швеция / Швеция (all) / Швеция U18 / Швеция U18 (all) / Швеция U20 / Швеция U20 (all) / Tappara / Tucson Roadrunners / Vityaz Podolsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/4407/mario-kempe
Николай Коваленко,Россия,США,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Ak Bars Kazan / Colorado Avalanche / Colorado Eagles / Loko Yaroslavl / Loko-Yunior Yaroslavl / Lokomotiv Yaroslavl / Lokomotiv-2004 Yaroslavl U16 / Lokomotiv-2004 Yaroslavl U17 / Россия (all) / Россия II (all) / Россия U16 (all) / Россия U17 / Россия U20 / Россия U20 (all) / San Jose Sharks / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/339499/nikolai-kovalenko
Максим Соркин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,CSKA Moskva / CSKA Moskva U16 / CSKA Moskva U17 / CSKA Moskva U18 / Krasnaya Armiya Moskva / Россия (all) / Россия 25 (all) / Россия II (all) / Россия U18 / Россия U18 (all) / Россия U20 / Россия U20 (all) / Zvezda Moskva,ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/395633/maxim-sorkin
Владимир Жарков,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Albany Devils / Avangard Omsk / CSKA Moskva / CSKA Moskva-2 / Lowell Devils / New Jersey Devils / Россия (all) / Россия U18 / SDYUSHOR CSKA Moskva / Salavat Yulaev Ufa / Traktor Chelyabinsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9303/vladimir-zharkov
Алексей Василевский,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,Avtomobilist Yekaterinburg / Россия (all) / Россия II (all) / Россия U16 (all) / Россия U17 / Россия U18 / Россия U20 / Salavat Yulaev Ufa / Tolpar Ufa / Toros Neftekamsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/58554/alexei-vasilevsky
